input,target,prediction,pred_length,valid,tanimoto
NCc1cocc1O,[NH3+]CC1=COC=C1[O-],N=C1OC=C=C(O1)C=C1,18,False,
CCN1C=CO[C@H]1[NH],CCN1C=COC1=N,CN1C=COC1=N,11,True,0.5
[NH][C@@H]1OC[C@@H]2N1CC2,N=C1OC=C2CCN12,N=C1NC2C3CC1C2C2,16,False,
C[C@](C(=O)O)(C#C)N,CC([NH3+])(C#C)C([O-])=O,CC(C#C)([NH3+])(C)(C)([O-])=O,29,False,
C[C@](C(=N)N)(C#N)O,CC(O)(C#N)C(N)=N,CC(N)(C#N)C(N)(N)(C)=O,22,False,
C[C@](C(=O)O)(CN)N,CC(N)(C[NH3+])C([O-])=O,CC(C)(N)(C)([NH3+])C([O-])=O,28,False,
OC[C@](C(=O)O)(N)C,CC([NH3+])(CO)C([O-])=O,CC([NH3+])(C(O)C([O-])=O)C(O,28,False,
C[C@](C(=O)O)(CN)O,CC(O)(C[NH3+])C([O-])=O,CC([NH3+])(C(O)C([O-])=O)C(O,28,False,
C[C@](C(=O)O)(CC)N,CCC(C)([NH3+])C([O-])=O,CC(C)(C)([NH3+])C(C)C([O-])=O,29,False,
CNC(C(=O)O)(C)C,C[NH2+]C(C)(C)C([O-])=O,CC(C)(C)([NH3+])C(C)([O-])=O,28,False,
OC(=O)CN=C(N)C,CC(N)=[NH+]CC([O-])=O,NC(=N)C(=O)CC(CO)C(N)=O,23,True,0.20588235294117646
OC(=O)CN=C(N)N,NC(N)=[NH+]CC([O-])=O,NC(=N)N(C(=O)CO)C(N)=O,22,True,0.1935483870967742
OC(=O)CN=C(N)C,CC(=[NH2+])NCC([O-])=O,NC(=N)C(=O)CC(CO)C(N)=O,23,True,0.1388888888888889
NC(=N)CCC(=O)O,NC(=[NH2+])CCC([O-])=O,NC(=N)C(=O)CC(CO)C(N)=O,23,True,0.21875
OC(=O)CN=C(N)N,NC(=[NH2+])NCC([O-])=O,NC(=N)N(C(=O)CO)C(N)=O,22,True,0.18181818181818182
C[C@H](C#CC(=O)O)N,CC([NH3+])C#CC([O-])=O,CC([NH3+])C(C#C)C([O-])=O,25,True,0.3793103448275862
CC(NCC(=O)O)C,CC(C)[NH2+]CC([O-])=O,CCC(C)([NH3+])CC([O-])=O,24,True,0.3103448275862069
C[C@H](CCC(=O)O)N,CC([NH3+])CCC([O-])=O,CCC(C)C([NH3+])C([O-])=O,24,True,0.39285714285714285
CN(CCC(=O)O)C,C[NH+](C)CCC([O-])=O,CCC(C)([NH3+])CC([O-])=O,24,True,0.27586206896551724
NC(=N)NC(=O)C#C,NC(=N)NC(=O)C#C,NC(=N)C(=O)C#NC(N)C#N,21,False,
NC(=N)NC(=O)C=O,NC(=N)NC(=O)C=O,NC(=N)NC(=O)C(=O)C(N)C=O,24,True,0.4482758620689655
N[C@H](C#C)CC(=O)O,[NH3+]C(CC([O-])=O)C#C,CC([NH3+])C(C#C)C([O-])=O,25,True,0.41379310344827586
CN1CC(=O)O[C@H]1N,CN(CC([O-])=O)C=[NH2+],NC1=C(OC(=N)N1CCC1)O,20,False,
CNC(=[NH2])[CH2].O=C=O,C[NH+]=C(N)CC([O-])=O,NC(=[NH2+])CC([O-])=O,21,True,0.4583333333333333
CCC(=O)NC(=N)N,CCC(=O)NC(N)=N,NC(=N)C(C)C(=O)CN1,18,False,
CNC(=[NH2])[CH2].O=C=O,CNC(=[NH2+])CC([O-])=O,NC(=[NH2+])CC([O-])=O,21,True,0.4782608695652174
COC(=O)NC(=N)N,COC(=O)NC(N)=N,NC(=N)N(C(=O)CO)C(N)=O,22,True,0.22580645161290322
NC(=N)NC(=O)CO,NC(=N)NC(=O)CO,NC(=N)N(C(=O)CO)C(N)=O,22,True,0.35714285714285715
C[C@@H](CN)CC(=O)O,CC(C[NH3+])CC([O-])=O,CCC([NH3+])C(C)C([O-])=O,24,True,0.35714285714285715
CC[C@H](CC(=O)O)N,CCC([NH3+])CC([O-])=O,CCC(C)C([NH3+])C([O-])=O,24,True,0.4444444444444444
CN(CC)CC(=O)O,CC[NH+](C)CC([O-])=O,CCC(C)([NH3+])CC([O-])=O,24,True,0.3103448275862069
C[C@H](NC)CC(=O)O,C[NH2+]C(C)CC([O-])=O,CCC(C)C([NH3+])C([O-])=O,24,True,0.3
OC[C@@H](CC(=O)O)N,[NH3+]C(CO)CC([O-])=O,CC([NH3+])C(O)C([O-])=O,23,True,0.2962962962962963
N[C@H](CN)CC(=O)O,NCC([NH3+])CC([O-])=O,CC(C)C([NH3+])C([O-])=O,23,True,0.2962962962962963
NC[C@H](CC(=O)O)O,[NH3+]CC(O)CC([O-])=O,CC([NH3+])C(O)C([O-])=O,23,True,0.32
C[C@@]1(CC(=O)O)CN1,CC1(CC([O-])=O)C[NH2+]1,CC1(CC1)C([NH3+])C([O-])=O,26,True,0.2903225806451613
OC(=O)CC1(N)CC1,[NH3+]C1(CC([O-])=O)CC1,CC1(CC1)C([NH2+]C([O-])=O)C1,28,False,
C#CCNCC(=O)O,[O-]C(=O)C[NH2+]CC#C,[NH3+]CC#CC(C#C)C([O-])=O,25,True,0.2571428571428571
O=CCNCC(=O)O,[O-]C(=O)C[NH2+]CC=O,NC(=[NH2+])CCC([O-])=O,22,True,0.2413793103448276
CNC=NCC(=O)O,C[NH+]=CNCC([O-])=O,NC(=N)C(=O)CCOCC=O,18,True,0.15
N[C]NCCC(=O)O,NC=[NH+]CCC([O-])=O,CNC(CC=[NH2+])C([O-])=O,23,True,0.23529411764705882
[CH2]C#C[CH2].O=C=O.N,[NH3+]CC#CCC([O-])=O,[NH3+]CC#CCC([O-])=O,20,True,1.0
CNC=NCC(=O)O,CNC=[NH+]CC([O-])=O,NC(=N)C(=O)CCOCC=O,18,True,0.15
CNCC#CC(=O)O,C[NH2+]CC#CC([O-])=O,[NH3+]CC#CC(C#C)C([O-])=O,25,True,0.2222222222222222
NCCC#CC(=O)O,[NH3+]CCC#CC([O-])=O,[NH3+]CC#CC(C#C)C([O-])=O,25,True,0.30303030303030304
CCCNCC(=O)O,CCC[NH2+]CC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,28,False,
CCNCCC(=O)O,CC[NH2+]CCC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,28,False,
CNCCCC(=O)O,C[NH2+]CCCC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,28,False,
NCCCCC(=O)O,[NH3+]CCCCC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,28,False,
NCCNCC(=O)O,NCC[NH2+]CC([O-])=O,NC(C[NH2+]CCCC([O-])=O)CNC([O,29,False,
NCCOCC(=O)O,[NH3+]CCOCC([O-])=O,[NH3+]CCC(O)C([O-])=O,21,True,0.32142857142857145
OCCNCC(=O)O,OCC[NH2+]CC([O-])=O,[NH3+]CCC(O)C([O-])=O,21,True,0.2
CNCC(=CC=O)O,C[NH2+]CC(=O)[CH-]C=O,CCC([NH2+]CCC([O-])=O)C=O,25,True,0.21052631578947367
CC#CC(=O)C(=N)N,CC#CC(=O)C(N)=N,NC(=N)C(=O)C#CCC(C)C#N,22,True,0.4375
CC#C[C@H](C(=O)O)N,CC#CC([NH3+])C([O-])=O,CC([NH3+])C(C#C)C([O-])=O,25,True,0.3793103448275862
NC(=N)C(=O)CC#C,NC(=N)C(=O)CC#C,NC(=N)C(=O)C#CCC(C)C#N,22,True,0.2777777777777778
NC(=N)C(=O)CC#N,NC(=N)C(=O)CC#N,NC(=N)C(=O)C#NC(N)C#N,21,False,
[NH][C](C(=N)N)OC=O,NC(=N)C(=N)OC=O,NC(=N)NC(=O)C1=O,16,False,
NC(=N)C(=O)CC=O,NC(=N)C(=O)CC=O,NC(=N)C(=O)C(C=O)C(N)C=O,24,True,0.3333333333333333
N=CNC(=O)C(=N)N,NC(=N)C(=O)NC=N,NC(=N)NC(=O)C(N)=N1,19,False,
NC(=N)C(=O)NC=O,NC(=N)C(=O)NC=O,NC(=N)NC(=O)C(=O)C(N)C=O,24,True,0.3548387096774194
[NH][CH]OC(=O)C(=N)N,NC(=N)C(=O)OC=N,NC(=N)C(=O)NC(=O)C(F)=N,23,True,0.27586206896551724
[NH]C(=[N]=CN)C(=O)O,[O-]C(=O)C(=N)NC=[NH2+],NC1=NC(=N)C(O)=NC(O)=N1,23,True,0.05555555555555555
